year,short_term,long_term,,,
3000BC,20,,,,
-2750,20,,,,
-2500,20,,,,
-2250,20,,,,
-2000,20,,,,
-1772,20,,,,
-1500,20,,,,
-1400,20,,,,
-1300,20,,,,
-1200,20,,,,
-1100,20,,,,
-1000,20,,,,
-900,20,,,,
-800,20,,,,
-700,20,,,,
-600,16,,,,
-575,16,,,,
-550,16,,,,
-525,16,,,,
-500,10,,,,
-475,10,,,,
-450,10,,,,
-443,8.33,,,,
-425,8.33,,,,
-400,8.33,,,,
-375,8,,,,
-350,8,,,,
-325,8,,,,
-300,8,,,,
-275,8,,,,
-250,8,,,,
225,8,,,,
-200,8,,,,
-175,8,,,,
-150,8,,,,
-125,8,,,,
-100,8,,,,
-75,8,,,,
-50,8,,,,
-25,8,,,,
1AD,4,,,,
25,4,,,,
50,4,,,,
75,4,,,,
100,5,,,,
125,5,,,,
150,5,,,,
175,5,,,,
200,5,,,,
225,5,,,,
250,5,,,,
275,5,,,,
300,12.5,,,,
325,12.5,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1450,6.25,,,,
1475,6.25,,,,
1490,6.25,,,,
1500,6.25,,,,
1550,8.13,,,,
1570,8.13,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1695,3.625,,,,
1696,3,,,,
1697,3,,,,
1698,3,,,,
1699,3.75,,,,
1700,4.5,,,,
1701,4.5,,,,
1702,4.5,,,,
1703,4.5,6,,,
1704,4.5,6,,,
1705,4.5,6,,,
1706,4.5,6,,,
1707,4.5,6,,,
1708,4.5,6,,,
1709,4.5,6,,,
1710,4.5,8.3,,,
1711,4.5,8.7,,,
1712,4.5,8.7,,,
1713,4.5,5.9,,,
1714,4.5,6.5,,,
1715,4.5,5,,,
1716,4.291666667,5,,,
1717,4,4.5,,,
1718,4,4.5,,,
1719,4.666666667,4,,,
1720,5,4,,,
1721,5,5,,,
1722,5,3,,,
1723,5,3,,,
1724,5,3,,,
1725,5,3,,,
1726,5,3,,,
1727,5,3.57,,,
1728,5,3.4,,,
1729,5,3.24,,,
1730,5,3.3,,,
1731,5,3.12,,,
1732,5,3.03,,,
1733,5,3.09,,,
1734,5,3.19,,,
1735,5,3.19,,,
1736,5,2.86,,,
1737,5,2.83,,,
1738,5,2.86,,,
1739,5,3.06,,,
1740,5,3,,,
1741,5,3.03,,,
1742,5,3,,,
1743,5,2.97,,,
1744,5,3.24,,,
1745,5,3.53,,,
1746,5,3.41,,,
1747,5,3.66,,,
1748,5,3.41,,,
1749,5,2.97,,,
1750,5,3,,,
1751,5,3.03,,,
1752,5,2.86,,,
1753,5,2.87,,,
1754,5,2.9,,,
1755,5,3.13,,,
1756,5,3.36,,,
1757,5,3.34,,,
1758,5,3.25,,,
1759,5,3.63,,,
1760,5,3.68,,,
1761,5,3.92,,,
1762,5,3.97,,,
1763,5,3.36,,,
1764,5,3.53,,,
1765,5,3.37,,,
1766,5,3.36,,,
1767,5,3.37,,,
1768,5,3.3,,,
1769,5,3.39,,,
1770,5,3.62,,,
1771,5,3.44,,,
1772,5,3.39,,,
1773,5,3.46,,,
1774,5,3.4,,,
1775,5,3.38,,,
1776,5,3.56,,,
1777,5,3.83,,,
1778,5,4.71,,,
1779,5,4.88,,,
1780,5,4.9,,,
1781,5,5.12,,,
1782,5,5.15,,,
1783,5,4.72,,,
1784,5,5.08,,,
1785,5,4.94,,,
1786,5,4.07,,,
1787,5,4.01,,,
1788,5,4,,,
1789,5,3.91,,,
1790,5,3.89,,,
1791,5,3.68,,,
1792,5,3.33,,,
1793,5,3.96,,,
1794,5,4.44,,,
1795,5,4.52,,,
1796,5,4.82,,,
1797,5,5.76,,,
1798,5,5.93,,,
1799,5,5.09,,,
1800,5,4.7,,,
1801,5,4.9,,,
1802,5,4.23,,,
1803,5,5.08,,,
1804,5,5.25,,,
1805,5,5.07,,,
1806,5,4.89,,,
1807,5,4.77,,,
1808,5,4.52,,,
1809,5,4.38,,,
1810,5,4.41,,,
1811,5,4.67,,,
1812,5,5.01,,,
1813,5,5.05,,,
1814,5,4.52,,,
1815,5,5.04,,,
1816,5,4.81,,,
1817,5,3.99,,,
1818,5,3.85,,,
1819,5,4.19,,,
1820,5,4.38,,,
1821,5,4,,,
1822,4.416666667,3.76,,,
1823,4,3.78,,,
1824,4,3.21,,,
1825,4.083333333,3.39,,,
1826,5,3.81,,,
1827,4.5,3.58,,,
1828,4,3.51,,,
1829,4,3.39,,,
1830,4,3.39,,,
1831,4,3.72,,,
1832,4,3.61,,,
1833,4,3.43,,,
1834,4,3.33,,,
1835,4,3.32,,,
1836,4.390710383,3.35,,,
1837,5,3.31,,,
1838,4.123287671,3.23,,,
1839,5.106849315,3.29,,,
1840,5.06010929,3.35,,,
1841,5,3.38,,,
1842,4.263013699,3.29,,,
1843,4,3.16,,,
1844,3.524590164,3.04,,,
1845,2.682191781,3.07,,,
1846,3.326027397,3.16,,,
1847,5.176712329,3.46,,,
1848,3.715846995,3.52,,,
1849,2.945205479,3.25,,,
1850,2.508219178,3.13,,,
1851,3,3.11,,,
1852,2.153005464,3.03,,,
1853,3.702739726,3.1,,,
1854,5.115068493,3.3,,,
1855,4.893150685,3.35,,,
1856,5.953551913,3.23,,,
1857,6.656164384,3.28,,,
1858,3.205479452,3.11,,,
1859,2.739726027,3.2,,,
1860,4.18989071,3.22,,,
1861,5.239726027,3.29,,,
1862,2.530136986,3.24,,,
1863,4.421917808,3.26,,,
1864,7.349726776,3.35,,,
1865,4.77260274,3.37,,,
1866,6.939726027,3.43,,,
1867,2.535616438,3.24,,,
1868,2.098360656,3.22,,,
1869,3.201369863,3.24,,,
1870,3.098630137,3.27,,,
1871,2.883561644,3.25,,,
1872,4.099726776,3.26,,,
1873,4.795890411,3.26,,,
1874,3.695890411,3.26,,,
1875,3.22739726,3.21,,,
1876,2.601092896,3.17,,,
1877,2.905479452,3.16,,,
1878,3.783561644,3.17,,,
1879,2.506849315,3.09,,,
1880,2.760928962,3.06,,,
1881,3.48630137,2.93,,,
1882,4.145205479,2.94,,,
1883,3.57260274,2.85,,,
1884,2.961748634,2.73,,,
1885,2.916438356,2.86,,,
1886,3.056164384,2.83,,,
1887,3.342465753,2.75,,,
1888,3.306010929,2.64,,,
1889,3.557534247,2.65,,,
1890,4.520547945,2.69,,,
1891,3.317808219,2.7,,,
1892,2.520491803,2.67,,,
1893,3.057534247,2.62,,,
1894,2.11369863,2.54,,,
1895,2,2.41,,,
1896,2.483606557,2.3,,,
1897,2.632876712,2.26,,,
1898,3.249315068,2.29,,,
1899,3.75890411,2.38,,,
1900,3.95890411,3.3,,,
1901,3.749315068,3.3,,,
1902,3.328767123,3.5,,,
1903,3.750684932,3.6,,,
1904,3.293715847,3.7,,,
1905,3.010958904,3.5,,,
1906,4.273972603,3.5,,,
1907,4.92739726,3.5,,,
1908,3,3.5,,,
1909,3.105479452,3.6,,,
1910,3.723287671,3.8,,,
1911,3.468493151,3.8,,,
1912,3.777322404,3.9,,,
1913,4.771232877,4.3,,,
1914,4.043835616,4.3,,,
1915,5,4.6,,,
1916,5.469945355,4.9,,,
1917,5.152054795,4.7,,,
1918,5,5,,,
1919,5.153424658,5.4,,,
1920,6.713114754,6.7,,,
1921,6.091780822,5.9,,,
1922,3.693150685,5.7,,,
1923,3.493150685,5.9,,,
1924,4,5.4,,,
1925,4.578082192,5.2,,,
1926,5,5.3,,,
1927,4.650684932,5.4,,,
1928,4.5,5.3,,,
1929,5.495890411,5.6,,,
1930,3.408219178,6.5,,,
1931,3.969863014,4.7,,,
1932,3.00273224,3.9,,,
1933,2,3.6,,,
1934,2,3.3,,,
1935,2,3.7,,,
1936,2,4,,,
1937,2,3.7,,,
1938,2,3.9,,,
1939,2.268493151,3.8,,,
1940,2,3.1,,,
