date,mn
1989-01-01,42
1989-02-01,42
1989-03-01,42
1989-04-01,42
1989-05-01,43
1989-06-01,43
1989-07-01,44
1989-08-01,44
1989-09-01,44
1989-10-01,43
1989-11-01,42
1989-12-01,41
1990-01-01,41
1990-02-01,42
1990-03-01,43
1990-04-01,43
1990-05-01,44
1990-06-01,45
1990-07-01,45
1990-08-01,45
1990-09-01,47
1990-10-01,49
1990-11-01,53
1990-12-01,55
1991-01-01,55
1991-02-01,55
1991-03-01,55
1991-04-01,55
1991-05-01,54
1991-06-01,55
1991-07-01,55
1991-08-01,57
1991-09-01,57
1991-10-01,58
1991-11-01,57
1991-12-01,59
1992-01-01,61
1992-02-01,63
1992-03-01,64
1992-04-01,66
1992-05-01,67
1992-06-01,67
1992-07-01,70
1992-08-01,72
1992-09-01,75
1992-10-01,78
1992-11-01,81
1992-12-01,81
1993-01-01,83
1993-02-01,85
1993-03-01,87
1993-04-01,89
1993-05-01,90
1993-06-01,91
1993-07-01,91
1993-08-01,92
1993-09-01,94
1993-10-01,100
1993-11-01,106
1993-12-01,114
1994-01-01,118
1994-02-01,121
1994-03-01,125
1994-04-01,125
1994-05-01,128
1994-06-01,132
1994-07-01,137
1994-08-01,136
1994-09-01,139
1994-10-01,137
1994-11-01,135
1994-12-01,132
1995-01-01,128
1995-02-01,128
1995-03-01,126
1995-04-01,127
1995-05-01,127
1995-06-01,127
1995-07-01,127
1995-08-01,129
1995-09-01,128
1995-10-01,129
1995-11-01,128
1995-12-01,129
1996-01-01,133
1996-02-01,135
1996-03-01,137
1996-04-01,138
1996-05-01,140
1996-06-01,141
1996-07-01,139
1996-08-01,142
1996-09-01,144
1996-10-01,142
1996-11-01,143
1996-12-01,141
1997-01-01,140
1997-02-01,138
1997-03-01,139
1997-04-01,138
1997-05-01,137
1997-06-01,136
1997-07-01,136
1997-08-01,135
1997-09-01,136
1997-10-01,138
1997-11-01,136
1997-12-01,138
1998-01-01,137
1998-02-01,135
1998-03-01,132
1998-04-01,130
1998-05-01,128
1998-06-01,127
1998-07-01,127
1998-08-01,127
1998-09-01,124
1998-10-01,123
1998-11-01,125
1998-12-01,124
1999-01-01,126
1999-02-01,129
1999-03-01,132
1999-04-01,137
1999-05-01,140
1999-06-01,140
1999-07-01,141
1999-08-01,143
1999-09-01,146
1999-10-01,150
1999-11-01,153
1999-12-01,160
2000-01-01,161
2000-02-01,165
2000-03-01,166
2000-04-01,167
2000-05-01,167
2000-06-01,172
2000-07-01,179
2000-08-01,183
2000-09-01,184
2000-10-01,188
2000-11-01,189
2000-12-01,190
2001-01-01,189
2001-02-01,185
2001-03-01,184
2001-04-01,184
2001-05-01,189
2001-06-01,189
2001-07-01,189
2001-08-01,192
2001-09-01,196
2001-10-01,199
2001-11-01,201
2001-12-01,200
2002-01-01,200
2002-02-01,202
2002-03-01,202
2002-04-01,202
2002-05-01,202
2002-06-01,202
2002-07-01,201
2002-08-01,200
2002-09-01,202
2002-10-01,208
2002-11-01,208
2002-12-01,217
2003-01-01,225
2003-02-01,226
2003-03-01,233
2003-04-01,237
2003-05-01,234
2003-06-01,237
2003-07-01,239
2003-08-01,236
2003-09-01,233
2003-10-01,226
2003-11-01,225
2003-12-01,221
2004-01-01,219
2004-02-01,221
2004-03-01,219
2004-04-01,220
2004-05-01,225
2004-06-01,228
2004-07-01,229
2004-08-01,235
2004-09-01,238
2004-10-01,235
2004-11-01,235
2004-12-01,232
2005-01-01,229
2005-02-01,226
2005-03-01,224
2005-04-01,222
2005-05-01,219
2005-06-01,215
2005-07-01,213
2005-08-01,208
2005-09-01,202
2005-10-01,197
2005-11-01,194
2005-12-01,188
2006-01-01,184
2006-02-01,183
2006-03-01,180
2006-04-01,174
2006-05-01,169
2006-06-01,165
2006-07-01,161
2006-08-01,159
2006-09-01,159
2006-10-01,157
2006-11-01,153
2006-12-01,154
2007-01-01,159
2007-02-01,159
2007-03-01,161
2007-04-01,165
2007-05-01,169
2007-06-01,173
2007-07-01,178
2007-08-01,180
2007-09-01,181
2007-10-01,183
2007-11-01,187
2007-12-01,190
2008-01-01,189
2008-02-01,192
2008-03-01,191
2008-04-01,193
2008-05-01,194
2008-06-01,193
2008-07-01,189
2008-08-01,189
2008-09-01,191
2008-10-01,197
2008-11-01,201
2008-12-01,201
2009-01-01,202
2009-02-01,205
2009-03-01,213
2009-04-01,215
2009-05-01,218
2009-06-01,221
2009-07-01,226
2009-08-01,229
2009-09-01,230
2009-10-01,226
2009-11-01,226
2009-12-01,227
2010-01-01,224
2010-02-01,220
