island,year,animal,no,mn
South,1990,Dairy cattle,329730,0.32973
South,1991,Dairy cattle,348864,0.348864
South,1992,Dairy cattle,370633,0.370633
South,1993,Dairy cattle,432196,0.432196
South,1994,Dairy cattle,561514,0.561514
South,1995,Dairy cattle,614366,0.614366
South,1996,Dairy cattle,650856,0.650856
South,1997,Dairy cattle,,
South,1998,Dairy cattle,,
South,1999,Dairy cattle,861187,0.861187
South,2000,Dairy cattle,,
South,2001,Dairy cattle,,
South,2002,Dairy cattle,1328271,1.328271
South,2003,Dairy cattle,1307627,1.307627
South,2004,Dairy cattle,1361997,1.361997
South,2005,Dairy cattle,1354956,1.354956
South,2006,Dairy cattle,1452828,1.452828
South,2007,Dairy cattle,1647934,1.647934
South,2008,Dairy cattle,1817644,1.817644
South,2009,Dairy cattle,2030660,2.03066
South,2010,Dairy cattle,2057927,2.057927
South,2011,Dairy cattle,2211330,2.21133
South,2012,Dairy cattle,2485977,2.485977
South,2013,Dairy cattle,2571598,2.571598
South,2014,Dairy cattle,2717336,2.717336
South,2015,Dairy cattle,2665841,2.665841
South,2016,Dairy cattle,2561453,2.561453
South,2017,Dairy cattle,2573529,2.573529
South,1990,Sheep,30008230,30.00823
South,1991,Sheep,28806778,28.806778
South,1992,Sheep,27803698,27.803698
South,1993,Sheep,26915055,26.915055
South,1994,Sheep,26949660,26.94966
South,1995,Sheep,26409576,26.409576
South,1996,Sheep,25737684,25.737684
South,1997,Sheep,,
South,1998,Sheep,,
South,1999,Sheep,25102764,25.102764
South,2000,Sheep,,
South,2001,Sheep,,
South,2002,Sheep,21131586,21.131586
South,2003,Sheep,20998413,20.998413
South,2004,Sheep,20482212,20.482212
South,2005,Sheep,20793967,20.793967
South,2006,Sheep,20440486,20.440486
South,2007,Sheep,19918214,19.918214
South,2008,Sheep,16779238,16.779238
South,2009,Sheep,16234377,16.234377
South,2010,Sheep,16533535,16.533535
South,2011,Sheep,15671702,15.671702
South,2012,Sheep,15995265,15.995265
South,2013,Sheep,15828295,15.828295
South,2014,Sheep,15440908,15.440908
South,2015,Sheep,14609212,14.609212
South,2016,Sheep,13577361,13.577361
South,2017,Sheep,13887864,13.887864
