year,temp
1910,-0.5
1911,-0.68
1912,-0.2
1913,-0.87
1914,0.12
1915,0.07
1916,-0.57
1917,-1.24
1918,-0.54
1919,-0.15
1920,-0.53
1921,-0.23
1922,-0.47
1923,-0.38
1924,-0.69
1925,-0.77
1926,-0.17
1927,-0.51
1928,0.16
1929,-0.87
1930,-0.24
1931,-0.59
1932,-0.42
1933,-0.45
1934,-0.36
1935,-0.5
1936,-0.14
1937,-0.36
1938,0.19
1939,-0.62
1940,-0.24
1941,-0.55
1942,0.08
1943,-0.62
1944,-0.4
1945,-0.29
1946,-0.73
1947,-0.25
1948,-0.45
1949,-0.94
1950,-0.61
1951,-0.43
1952,-0.43
1953,-0.45
1954,-0.36
1955,-0.32
1956,-0.92
1957,0.04
1958,0.14
1959,0.24
1960,-0.66
1961,0.05
1962,-0.11
1963,-0.13
1964,-0.22
1965,0.25
1966,-0.5
1967,-0.22
1968,-0.39
1969,-0.03
1970,-0.1
1971,-0.22
1972,0.15
1973,0.54
1974,-0.7
1975,-0.22
1976,-0.75
1977,-0.04
1978,-0.31
1979,0.37
1980,0.74
1981,0.27
1982,-0.04
1983,0.33
1984,-0.38
1985,0.21
1986,0.22
1987,0.17
1988,0.73
1989,-0.02
1990,0.47
1991,0.6
1992,0.12
1993,0.31
1994,0.18
1995,0.16
1996,0.6
1997,0.3
1998,0.97
1999,0.32
2000,-0.04
2001,0.05
2002,0.71
2003,0.69
2004,0.54
2005,1.16
2006,0.5
2007,0.76
2008,0.45
2009,0.93
2010,0.33
2011,0
2012,0.24
2013,1.33
2014,1.04
2015,0.94
2016,0.99
2017,1.06
2018,1.12
2019,1.52
2020,1.15
