date,type,rate,wpi
Sep-1998,Underutilsation rate,14.3,3.3
Dec-1998,Underutilsation rate,14.0,3.0
Mar-1999,Underutilsation rate,13.6,3.2
Jun-1999,Underutilsation rate,13.6,3.1
Sep-1999,Underutilsation rate,13.1,3.0
Dec-1999,Underutilsation rate,13.0,3.0
Mar-2000,Underutilsation rate,12.3,2.7
Jun-2000,Underutilsation rate,12.0,2.8
Sep-2000,Underutilsation rate,12.1,3.1
Dec-2000,Underutilsation rate,12.8,3.4
Mar-2001,Underutilsation rate,13.1,3.8
Jun-2001,Underutilsation rate,13.3,3.7
Sep-2001,Underutilsation rate,13.5,3.6
Dec-2001,Underutilsation rate,13.4,3.5
Mar-2002,Underutilsation rate,12.9,3.1
Jun-2002,Underutilsation rate,12.7,3.2
Sep-2002,Underutilsation rate,12.5,3.3
Dec-2002,Underutilsation rate,12.3,3.3
Mar-2003,Underutilsation rate,13.1,3.6
Jun-2003,Underutilsation rate,13.2,3.5
Sep-2003,Underutilsation rate,12.8,3.6
Dec-2003,Underutilsation rate,12.8,3.8
Mar-2004,Underutilsation rate,12.5,3.5
Jun-2004,Underutilsation rate,12.5,3.5
Sep-2004,Underutilsation rate,12.4,3.6
Dec-2004,Underutilsation rate,12.0,3.5
Mar-2005,Underutilsation rate,12.0,3.9
Jun-2005,Underutilsation rate,11.7,4.1
Sep-2005,Underutilsation rate,11.7,4.2
Dec-2005,Underutilsation rate,11.7,4.1
Mar-2006,Underutilsation rate,11.4,4.1
Jun-2006,Underutilsation rate,11.4,4.2
Sep-2006,Underutilsation rate,11.3,3.9
Dec-2006,Underutilsation rate,10.9,4.0
Mar-2007,Underutilsation rate,10.8,4.0
Jun-2007,Underutilsation rate,10.6,4.0
Sep-2007,Underutilsation rate,10.4,4.3
Dec-2007,Underutilsation rate,10.4,4.2
Mar-2008,Underutilsation rate,10.0,4.1
Jun-2008,Underutilsation rate,10.0,4.3
Sep-2008,Underutilsation rate,10.2,4.0
Dec-2008,Underutilsation rate,11.2,4.3
Mar-2009,Underutilsation rate,13.1,4.0
Jun-2009,Underutilsation rate,13.4,3.7
Sep-2009,Underutilsation rate,13.3,3.4
Dec-2009,Underutilsation rate,13.0,2.9
Mar-2010,Underutilsation rate,12.7,3.1
Jun-2010,Underutilsation rate,12.2,3.1
Sep-2010,Underutilsation rate,12.2,3.6
Dec-2010,Underutilsation rate,11.8,3.8
Mar-2011,Underutilsation rate,11.9,3.9
Jun-2011,Underutilsation rate,11.9,3.8
Sep-2011,Underutilsation rate,12.0,3.6
Dec-2011,Underutilsation rate,12.3,3.7
Mar-2012,Underutilsation rate,12.4,3.5
