date,retail,ave
1982-04-01,3518.7,
1982-05-01,3527.7,
1982-06-01,3561.5,
1982-07-01,3553.9,
1982-08-01,3581.8,
1982-09-01,3581.2,
1982-10-01,3595.6,
1982-11-01,3651.7,
1982-12-01,3650.4,
1983-01-01,3695.6,
1983-02-01,3821,
1983-03-01,3822.8,
1983-04-01,3885.2,
1983-05-01,3793.2,
1983-06-01,3839.4,
1983-07-01,3871.1,
1983-08-01,3945.5,
1983-09-01,3951.4,
1983-10-01,3972.3,
1983-11-01,3983.3,
1983-12-01,4017.6,
1984-01-01,4039.3,
1984-02-01,4061.2,
1984-03-01,4098.9,
1984-04-01,4097.7,
1984-05-01,4122.3,
1984-06-01,4093.2,
1984-07-01,4223.6,
1984-08-01,4165.1,
1984-09-01,4192.8,
1984-10-01,4244.7,
1984-11-01,4287,
1984-12-01,4301.7,
1985-01-01,4341.1,
1985-02-01,4379.3,
1985-03-01,4406.6,
1985-04-01,4476.7,
1985-05-01,4576.7,
1985-06-01,4575.1,
1985-07-01,4649.3,
1985-08-01,4655.3,
1985-09-01,4721.8,
1985-10-01,4788.1,
1985-11-01,4831.2,
1985-12-01,4877.1,
1986-01-01,4860.9,
1986-02-01,4879.8,
1986-03-01,4826.5,
1986-04-01,4960.5,
1986-05-01,5118,
1986-06-01,5060.9,
1986-07-01,5095.5,
1986-08-01,5195,
1986-09-01,5188.3,
1986-10-01,5177.3,
1986-11-01,5199,
1986-12-01,5252.8,
1987-01-01,5277,
1987-02-01,5323.2,
1987-03-01,5344,
1987-04-01,5366.6,
1987-05-01,5413,
1987-06-01,5445.4,
1987-07-01,5553.8,
1987-08-01,5581.7,
1987-09-01,5595.2,
1987-10-01,5626.2,
1987-11-01,5652.9,
1987-12-01,5711.1,
1988-01-01,5659.4,
1988-02-01,5750.7,
1988-03-01,5806.5,
1988-04-01,5862.7,
1988-05-01,5936.4,
1988-06-01,5976.7,
1988-07-01,5968.7,
1988-08-01,6024.2,
1988-09-01,6078.6,
1988-10-01,6166.9,
1988-11-01,6211.8,
1988-12-01,6307.8,
1989-01-01,6459.2,
1989-02-01,6339.1,
1989-03-01,6420.8,
1989-04-01,6493.7,
1989-05-01,6474.6,
1989-06-01,6596.8,
1989-07-01,6632.3,
1989-08-01,6631,
1989-09-01,6754.9,
1989-10-01,6731.8,
1989-11-01,6795.4,
1989-12-01,6887.2,
1990-01-01,6841.9,
1990-02-01,6855.3,
1990-03-01,6903.8,
1990-04-01,6925.6,
1990-05-01,6946.8,
1990-06-01,7022.6,
1990-07-01,6977.7,
1990-08-01,7025.9,
1990-09-01,6961.5,
1990-10-01,6956.9,
1990-11-01,7011.2,
1990-12-01,7017.2,
1991-01-01,7086,
1991-02-01,7141.7,
1991-03-01,7106.4,
1991-04-01,7122.2,
1991-05-01,7117.9,
1991-06-01,7100.9,
1991-07-01,7424.6,
1991-08-01,7399.6,
1991-09-01,7320.6,
1991-10-01,7484.6,
1991-11-01,7436.4,
