date,air_trans,r_gdp
2015-03-01,100,100
2015-06-01,103.125,100.1821744
2015-09-01,107.6171875,101.2400486
2015-12-01,110.4003906,101.8244497
2016-03-01,112.890625,102.6904546
2016-06-01,111.2792969,103.4311018
2016-09-01,111.1816406,103.5415788
2016-12-01,111.1328125,104.5854743
2017-03-01,112.3046875,104.8736165
2017-06-01,113.7207031,105.5987067
2017-09-01,115.9179688,106.6200559
2017-12-01,117.96875,107.1501203
2018-03-01,120.2148438,108.1117216
2018-06-01,119.4824219,109.063628
2018-09-01,119.3847656,109.457738
2018-12-01,121.5820313,109.6730555
2019-03-01,122.6074219,110.2051491
2019-06-01,125.4394531,110.9216718
2019-09-01,121.9726563,111.5892688
2019-12-01,124.4628906,112.0798772
2020-03-01,106.1523438,111.7488969
2020-06-01,3.857421875,103.9228374
2020-09-01,8.349609375,107.459907
2020-12-01,17.23632813,110.8208896
