time,variable,values
0,80's recession,0
1,80's recession,0
2,80's recession,0.2
3,80's recession,0.6
4,80's recession,0.1
5,80's recession,-0.1
6,80's recession,0.1
7,80's recession,0.7
8,80's recession,0.5
9,80's recession,0.4
10,80's recession,0.5
11,80's recession,0.2
12,80's recession,0
13,80's recession,0
14,80's recession,-0.1
15,80's recession,-0.3
16,80's recession,-0.3
17,80's recession,-1.2
18,80's recession,-1.9
19,80's recession,-2
20,80's recession,-2
21,80's recession,-2.6
22,80's recession,-2.9
23,80's recession,-2.4
24,80's recession,-2.3
25,80's recession,-2.2
26,80's recession,-2.1
27,80's recession,-1.6
28,80's recession,-1.6
29,80's recession,-1
30,80's recession,-0.7
31,80's recession,-0.7
32,80's recession,-0.4
33,80's recession,0.4
0,90's recession,0
1,90's recession,-0.2
2,90's recession,-0.1
3,90's recession,0
4,90's recession,0.2
5,90's recession,0.3
6,90's recession,0.7
7,90's recession,0.7
8,90's recession,0.7
9,90's recession,0.3
10,90's recession,0
11,90's recession,-0.2
12,90's recession,-0.4
13,90's recession,-0.4
14,90's recession,-1.2
15,90's recession,-1.1
16,90's recession,-1.8
17,90's recession,-1.9
18,90's recession,-1.9
19,90's recession,-2.4
20,90's recession,-2.8
21,90's recession,-2.6
22,90's recession,-2.5
23,90's recession,-2.9
24,90's recession,-3.2
25,90's recession,-2.9
26,90's recession,-2.7
27,90's recession,-2.5
28,90's recession,-2.7
29,90's recession,-2.8
30,90's recession,-2.9
31,90's recession,-2.7
32,90's recession,-2.5
33,90's recession,-2.2
34,90's recession,-2.7
35,90's recession,-2.6
36,90's recession,-3.5
37,90's recession,-3.1
38,90's recession,-2.5
39,90's recession,-3.3
40,90's recession,-2.7
41,90's recession,-3
42,90's recession,-2.9
43,90's recession,-2.8
44,90's recession,-2.8
45,90's recession,-2.5
46,90's recession,-2.2
47,90's recession,-1.6
48,90's recession,-1.5
49,90's recession,-1.3
50,90's recession,-1
51,90's recession,-0.7
52,90's recession,-0.5
53,90's recession,-0.4
54,90's recession,0.1
0,GFC,0
1,GFC,-0.1
2,GFC,-0.1
3,GFC,-0.1
4,GFC,0
5,GFC,0
6,GFC,0.1
7,GFC,-0.2
8,GFC,0
9,GFC,-0.2
10,GFC,-0.4
11,GFC,0.1
12,GFC,0
13,GFC,0.2
14,GFC,0.3
0,COVID-19,0
1,COVID-19,0
2,COVID-19,-4.7
3,COVID-19,-6.8
4,COVID-19,-5
5,COVID-19,-4.1
6,COVID-19,-2.9
7,COVID-19,-3.3
8,COVID-19,-1.9
9,COVID-19,-1.3
10,COVID-19,-0.9
11,COVID-19,-0.7
12,COVID-19,0
13,COVID-19,0.5
