date,nov_19_pro,mar_21_pro,down,up
2019-12-01,100,100,,
2020-03-01,100.7305451,97.2769246,,
2020-06-01,101.4400361,90.30924044,,
2020-09-01,102.1831333,97.28219296,,
2020-12-01,102.9414311,98.91991923,,
2021-03-01,103.7102792,99.60460414,99.60460414,99.60460414
2021-06-01,104.4878427,100.7933213,100.5826633,101.9020478
2021-09-01,105.2850729,101.9321344,100.5318927,103.9707771
2021-12-01,106.0972358,102.9610711,100.7216678,105.5350979
2022-03-01,106.9232764,103.9655024,101.4813506,106.679002
2022-06-01,107.7452451,104.9461458,102.4965978,107.4858425
2022-09-01,108.5735326,105.9056142,103.573149,108.2567189
2022-12-01,109.4081875,106.8541997,104.7874258,109.0233399
